iso3,region
AFG,South Asia
LKA,South Asia
BTN,South Asia
MDV,South Asia
BGD,South Asia
PAK,South Asia
NPL,South Asia
IND,South Asia
LAO,East Asia & Pacific
AUS,East Asia & Pacific
PRK,East Asia & Pacific
TWN,East Asia & Pacific
FJI,East Asia & Pacific
KHM,East Asia & Pacific
HKG,East Asia & Pacific
PNG,East Asia & Pacific
NRU,East Asia & Pacific
TLS,East Asia & Pacific
FSM,East Asia & Pacific
KOR,East Asia & Pacific
CHN,East Asia & Pacific
BRN,East Asia & Pacific
MMR,East Asia & Pacific
MNG,East Asia & Pacific
IDN,East Asia & Pacific
MHL,East Asia & Pacific
PLW,East Asia & Pacific
WSM,East Asia & Pacific
TON,East Asia & Pacific
MAC,East Asia & Pacific
KIR,East Asia & Pacific
SLB,East Asia & Pacific
NZL,East Asia & Pacific
VUT,East Asia & Pacific
VNM,East Asia & Pacific
PHL,East Asia & Pacific
THA,East Asia & Pacific
SGP,East Asia & Pacific
JPN,East Asia & Pacific
MYS,East Asia & Pacific
DNK,Europe & Central Asia
SWE,Europe & Central Asia
BLR,Europe & Central Asia
CHE,Europe & Central Asia
AND,Europe & Central Asia
ROU,Europe & Central Asia
KGZ,Europe & Central Asia
TUR,Europe & Central Asia
LUX,Europe & Central Asia
GEO,Europe & Central Asia
BGR,Europe & Central Asia
KAZ,Europe & Central Asia
CZE,Europe & Central Asia
TJK,Europe & Central Asia
LTU,Europe & Central Asia
ESP,Europe & Central Asia
SVK,Europe & Central Asia
GRC,Europe & Central Asia
ARM,Europe & Central Asia
HUN,Europe & Central Asia
LVA,Europe & Central Asia
ISL,Europe & Central Asia
SVN,Europe & Central Asia
NLD,Europe & Central Asia
MDA,Europe & Central Asia
BEL,Europe & Central Asia
CYP,Europe & Central Asia
HRV,Europe & Central Asia
AUT,Europe & Central Asia
PRT,Europe & Central Asia
SRB,Europe & Central Asia
GBR,Europe & Central Asia
ITA,Europe & Central Asia
XKX,Europe & Central Asia
EST,Europe & Central Asia
POL,Europe & Central Asia
DEU,Europe & Central Asia
FIN,Europe & Central Asia
ALB,Europe & Central Asia
MNE,Europe & Central Asia
AZE,Europe & Central Asia
UZB,Europe & Central Asia
NOR,Europe & Central Asia
UKR,Europe & Central Asia
MLT,Europe & Central Asia
RUS,Europe & Central Asia
TKM,Europe & Central Asia
FRA,Europe & Central Asia
BIH,Europe & Central Asia
MCO,Europe & Central Asia
MKD,Europe & Central Asia
IRL,Europe & Central Asia
ATG,Latin America & Caribbean
ARG,Latin America & Caribbean
PRY,Latin America & Caribbean
URY,Latin America & Caribbean
SLV,Latin America & Caribbean
DMA,Latin America & Caribbean
NIC,Latin America & Caribbean
VEN,Latin America & Caribbean
CRI,Latin America & Caribbean
GTM,Latin America & Caribbean
JAM,Latin America & Caribbean
ECU,Latin America & Caribbean
GUY,Latin America & Caribbean
CUB,Latin America & Caribbean
HTI,Latin America & Caribbean
BHS,Latin America & Caribbean
COL,Latin America & Caribbean
BRB,Latin America & Caribbean
SUR,Latin America & Caribbean
BRA,Latin America & Caribbean
PER,Latin America & Caribbean
DOM,Latin America & Caribbean
VCT,Latin America & Caribbean
MEX,Latin America & Caribbean
LCA,Latin America & Caribbean
GRD,Latin America & Caribbean
HND,Latin America & Caribbean
PAN,Latin America & Caribbean
KNA,Latin America & Caribbean
TTO,Latin America & Caribbean
BOL,Latin America & Caribbean
BLZ,Latin America & Caribbean
CHL,Latin America & Caribbean
DZA,Middle East & North Africa
LBY,Middle East & North Africa
SAU,Middle East & North Africa
SYR,Middle East & North Africa
IRQ,Middle East & North Africa
ISR,Middle East & North Africa
MAR,Middle East & North Africa
QAT,Middle East & North Africa
OMN,Middle East & North Africa
KWT,Middle East & North Africa
LBN,Middle East & North Africa
PSE,Middle East & North Africa
TUN,Middle East & North Africa
DJI,Middle East & North Africa
ARE,Middle East & North Africa
EGY,Middle East & North Africa
YEM,Middle East & North Africa
IRN,Middle East & North Africa
JOR,Middle East & North Africa
BHR,Middle East & North Africa
USA,North America
CAN,North America
ABW,Other
AGO,Other
AIA,Other
ALA,Other
ASM,Other
ATA,Other
ATF,Other
BDI,Other
BEN,Other
BES,Other
BFA,Other
BLM,Other
BMU,Other
BVT,Other
BWA,Other
CAF,Other
CCK,Other
CIV,Other
CMR,Other
COD,Other
COG,Other
COK,Other
COM,Other
CPV,Other
CUW,Other
CXR,Other
CYM,Other
ERI,Other
ESH,Other
ETH,Other
FLK,Other
FRO,Other
GAB,Other
GGY,Other
GHA,Other
GIB,Other
GIN,Other
GLP,Other
GMB,Other
GNB,Other
GNQ,Other
GRL,Other
GUF,Other
GUM,Other
HMD,Other
IMN,Other
IOT,Other
JEY,Other
KEN,Other
LBR,Other
LIE,Other
LSO,Other
MAF,Other
MDG,Other
MLI,Other
MNP,Other
MOZ,Other
MRT,Other
MSR,Other
MTQ,Other
MUS,Other
MWI,Other
MYT,Other
NAM,Other
NCL,Other
NER,Other
NFK,Other
NGA,Other
NIU,Other
PCN,Other
PRI,Other
PYF,Other
REU,Other
RWA,Other
SDN,Other
SEN,Other
SGS,Other
SHN,Other
SJM,Other
SLE,Other
SMR,Other
SOM,Other
SPM,Other
SSD,Other
STP,Other
SWZ,Other
SXM,Other
SYC,Other
TCA,Other
TCD,Other
TGO,Other
TKL,Other
TUV,Other
TZA,Other
UGA,Other
UMI,Other
VAT,Other
VGB,Other
VIR,Other
WLF,Other
ZAF,Other
ZMB,Other
ZWE,Other
