Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1661891,WHS4_543,COUNTRY,MEX,AMR,YEAR,Americas,,,2004,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1669088,WHS4_543,COUNTRY,GHA,AFR,YEAR,Africa,,,2024,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
1675613,WHS4_543,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,,,2020,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1678577,WHS4_543,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2015,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1685308,WHS4_543,COUNTRY,COM,AFR,YEAR,Africa,,,2020,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1688122,WHS4_543,COUNTRY,KEN,AFR,YEAR,Africa,,,2003,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1692522,WHS4_543,COUNTRY,PRY,AMR,YEAR,Americas,,,2018,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1700114,WHS4_543,COUNTRY,CAF,AFR,YEAR,Africa,,,2010,,,,,,,74,74.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1700916,WHS4_543,WORLDBANKINCOMEGROUP,WB_UMI,,YEAR,,,,2004,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1707416,WHS4_543,COUNTRY,FSM,WPR,YEAR,Western Pacific,,,2010,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1712338,WHS4_543,COUNTRY,SLB,WPR,YEAR,Western Pacific,,,2017,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1738175,WHS4_543,COUNTRY,GAB,AFR,YEAR,Africa,,,2011,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1738734,WHS4_543,COUNTRY,DZA,AFR,YEAR,Africa,,,2000,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1744583,WHS4_543,COUNTRY,PSE,EMR,YEAR,Eastern Mediterranean,,,2000,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1744981,WHS4_543,COUNTRY,GIN,AFR,YEAR,Africa,,,2001,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1746538,WHS4_543,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2015,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1752313,WHS4_543,COUNTRY,ARG,AMR,YEAR,Americas,,,2014,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1756324,WHS4_543,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,,2004,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1757712,WHS4_543,COUNTRY,ZWE,AFR,YEAR,Africa,,,2016,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1764656,WHS4_543,COUNTRY,MKD,EUR,YEAR,Europe,,,2014,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1770208,WHS4_543,COUNTRY,MNE,EUR,YEAR,Europe,,,2006,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1776467,WHS4_543,COUNTRY,FJI,WPR,YEAR,Western Pacific,,,2001,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1777405,WHS4_543,COUNTRY,KEN,AFR,YEAR,Africa,,,2000,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1787670,WHS4_543,COUNTRY,UKR,EUR,YEAR,Europe,,,2001,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1791085,WHS4_543,COUNTRY,FRA,EUR,YEAR,Europe,,,2006,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1795062,WHS4_543,COUNTRY,GMB,AFR,YEAR,Africa,,,2016,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1802011,WHS4_543,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,,,2023,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
