Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1667851,HWF_0001,COUNTRY,CYP,EUR,YEAR,Europe,,,2017,,,,,,,26.51,26.51,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1672783,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2017,,,,,,,5.35,5.35,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1673596,HWF_0001,COUNTRY,RUS,EUR,YEAR,Europe,,,2022,,,,,,,51.11,51.11,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1673689,HWF_0001,COUNTRY,NAM,AFR,YEAR,Africa,,,2023,,,,,,,6.44,6.44,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
1674482,HWF_0001,COUNTRY,BIH,EUR,YEAR,Europe,,,2013,,,,,,,19.97,19.97,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1686393,HWF_0001,COUNTRY,MEX,AMR,YEAR,Americas,,,1994,,,,,,,15.8,15.8,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1687699,HWF_0001,COUNTRY,MNG,WPR,YEAR,Western Pacific,,,2006,,,,,,,27.39,27.39,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1692516,HWF_0001,COUNTRY,EST,EUR,YEAR,Europe,,,2013,,,,,,,33.35,33.35,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1692730,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2017,,,,,,,9.32,9.32,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1711096,HWF_0001,COUNTRY,TKM,EUR,YEAR,Europe,,,2007,,,,,,,21.75,21.75,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1724712,HWF_0001,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,,1991,,,,,,,1.9,1.9,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
1724744,HWF_0001,COUNTRY,AZE,EUR,YEAR,Europe,,,2002,,,,,,,35.41,35.41,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1725317,HWF_0001,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,,,2017,,,,,,,20.13,20.13,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1729654,HWF_0001,COUNTRY,LTU,EUR,YEAR,Europe,,,1993,,,,,,,36.1,36.1,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
1730066,HWF_0001,COUNTRY,ETH,AFR,YEAR,Africa,,,2009,,,,,,,0.25,0.25,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1736821,HWF_0001,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,2019,,,,,,,38.08,38.08,,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",2026-01-23T13:29:16.4+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
