Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1667955,WHS4_544,REGION,EMR,YEAR,,,,2021,,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1668867,WHS4_544,COUNTRY,FJI,YEAR,WPR,Western Pacific,,2015,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1678841,WHS4_544,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,2000,,,,,,,,37,37.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1679256,WHS4_544,COUNTRY,SLB,YEAR,WPR,Western Pacific,,2009,,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1679794,WHS4_544,COUNTRY,TCD,YEAR,AFR,Africa,,2014,,,,,,,,44,44.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1692979,WHS4_544,COUNTRY,BHS,YEAR,AMR,Americas,,2000,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1693435,WHS4_544,COUNTRY,MLT,YEAR,EUR,Europe,,2019,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1693527,WHS4_544,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,,2024,,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
1694398,WHS4_544,COUNTRY,CAF,YEAR,AFR,Africa,,2004,,,,,,,,45,45.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1698273,WHS4_544,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,,2002,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
