Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1659474,NCDMORT3070,COUNTRY,IRL,EUR,YEAR,Europe,SEX,SEX_BTSX,2013,AGEGROUP,AGEGROUP_YEARS30-69,,,,,11.4 [9.8-13.4],11.4,9.8,13.4,,2024-12-18T14:54:42.07+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1666101,NCDMORT3070,COUNTRY,ISR,EUR,YEAR,Europe,SEX,SEX_BTSX,2005,AGEGROUP,AGEGROUP_YEARS30-69,,,,,12.2 [10.2-13.9],12.2,10.2,13.9,,2024-12-18T14:54:42.07+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1666363,NCDMORT3070,COUNTRY,HRV,EUR,YEAR,Europe,SEX,SEX_MLE,2000,AGEGROUP,AGEGROUP_YEARS30-69,,,,,30.5 [26.9-35.0],30.5,26.9,35.0,,2024-12-18T14:54:42.07+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1666471,NCDMORT3070,COUNTRY,LCA,AMR,YEAR,Americas,SEX,SEX_FMLE,2001,AGEGROUP,AGEGROUP_YEARS30-69,,,,,17.0 [14.8-20.3],17.0,14.8,20.3,,2024-12-18T14:54:42.07+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1667931,NCDMORT3070,COUNTRY,GEO,EUR,YEAR,Europe,SEX,SEX_FMLE,2005,AGEGROUP,AGEGROUP_YEARS30-69,,,,,18.5 [15.9-19.8],18.5,15.9,19.8,,2024-12-18T14:54:42.07+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1672856,NCDMORT3070,COUNTRY,NPL,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,2003,AGEGROUP,AGEGROUP_YEARS30-69,,,,,18.6 [11.3-27.2],18.6,11.3,27.2,,2024-12-18T14:54:42.07+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1673565,NCDMORT3070,COUNTRY,KEN,AFR,YEAR,Africa,SEX,SEX_FMLE,2005,AGEGROUP,AGEGROUP_YEARS30-69,,,,,16.6 [11.0-25.0],16.6,11.0,25.0,,2024-12-18T14:54:42.07+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1673768,NCDMORT3070,COUNTRY,BOL,AMR,YEAR,Americas,SEX,SEX_FMLE,2009,AGEGROUP,AGEGROUP_YEARS30-69,,,,,18.8 [11.0-28.4],18.8,11.0,28.4,,2024-12-18T14:54:42.07+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1673919,NCDMORT3070,COUNTRY,MDV,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,2009,AGEGROUP,AGEGROUP_YEARS30-69,,,,,17.5 [12.7-24.1],17.5,12.7,24.1,,2024-12-18T14:54:42.07+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1674216,NCDMORT3070,COUNTRY,USA,AMR,YEAR,Americas,SEX,SEX_BTSX,2009,AGEGROUP,AGEGROUP_YEARS30-69,,,,,14.8 [14.1-15.3],14.8,14.1,15.3,,2024-12-18T14:54:42.07+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
