Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1662587,UHC_INDEX_REPORTED,COUNTRY,UKR,YEAR,EUR,Europe,,,2020,,,,,,,79,79.0,,,,2025-12-05T11:39:13.277+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1662694,UHC_INDEX_REPORTED,COUNTRY,URY,YEAR,AMR,Americas,,,2022,,,,,,,84,84.0,,,,2025-12-05T11:39:13.277+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1665856,UHC_INDEX_REPORTED,COUNTRY,KOR,YEAR,WPR,Western Pacific,,,2015,,,,,,,86,86.0,,,,2025-12-05T11:39:13.277+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1667243,UHC_INDEX_REPORTED,COUNTRY,KAZ,YEAR,EUR,Europe,,,2003,,,,,,,77,77.0,,,,2025-12-05T11:39:13.277+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1667289,UHC_INDEX_REPORTED,COUNTRY,CMR,YEAR,AFR,Africa,,,2007,,,,,,,34,34.0,,,,2025-12-05T11:39:13.277+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1670411,UHC_INDEX_REPORTED,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,,,2023,,,,,,,48,48.0,,,,2025-12-05T11:39:13.277+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
1670770,UHC_INDEX_REPORTED,COUNTRY,THA,YEAR,SEAR,South-East Asia,,,2017,,,,,,,81,81.0,,,,2025-12-05T11:39:13.277+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1675708,UHC_INDEX_REPORTED,COUNTRY,MEX,YEAR,AMR,Americas,,,2007,,,,,,,69,69.0,,,,2025-12-05T11:39:13.277+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1676286,UHC_INDEX_REPORTED,COUNTRY,TUR,YEAR,EUR,Europe,,,2016,,,,,,,75,75.0,,,,2025-12-05T11:39:13.277+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1677295,UHC_INDEX_REPORTED,COUNTRY,HND,YEAR,AMR,Americas,,,2021,,,,,,,64,64.0,,,,2025-12-05T11:39:13.277+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1679065,UHC_INDEX_REPORTED,COUNTRY,JPN,YEAR,WPR,Western Pacific,,,2015,,,,,,,82,82.0,,,,2025-12-05T11:39:13.277+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1688217,UHC_INDEX_REPORTED,REGION,AMR,YEAR,,,,,2016,,,,,,,82,82.0,,,,2025-12-05T11:39:13.277+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1688330,UHC_INDEX_REPORTED,COUNTRY,DEU,YEAR,EUR,Europe,,,2012,,,,,,,85,85.0,,,,2025-12-05T11:39:13.277+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1688782,UHC_INDEX_REPORTED,COUNTRY,COD,YEAR,AFR,Africa,,,2009,,,,,,,33,33.0,,,,2025-12-05T11:39:13.277+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1689975,UHC_INDEX_REPORTED,COUNTRY,BWA,YEAR,AFR,Africa,,,2005,,,,,,,50,50.0,,,,2025-12-05T11:39:13.277+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
